#time fluid_temperature fluid_vCM 
0.499  13.5643    2.35371 3.12943 1.14615   
0.5  14.3843    2.37385 3.098 1.15549   
0.501  12.6093    2.37437 3.0597 1.16711   
0.502  11.6228    2.35738 3.01417 1.1855   
0.503  11.6372    2.32455 2.96512 1.20736   
0.504  10.403    2.27738 2.91573 1.23354   
0.505  8.99899    2.21802 2.86847 1.26948   
0.506  8.43421    2.1472 2.82408 1.31033   
0.507  7.80061    2.07008 2.78212 1.35268   
0.508  8.00539    1.99421 2.74336 1.39547   
0.509  8.01136    1.92131 2.70768 1.43925   
0.51  8.15774    1.85254 2.67415 1.48007   
0.511  7.76576    1.78909 2.64107 1.51524   
0.512  7.22643    1.72971 2.60655 1.54692   
0.513  7.56616    1.67369 2.57016 1.57148   
0.514  7.73392    1.62221 2.52995 1.57785   
0.515  9.77068    1.57375 2.48435 1.56212   
0.516  10.4615    1.5239 2.43397 1.52438   
0.517  10.513    1.4686 2.37784 1.4637   
